cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
12.0_75.10000000000001,12.0,75.10000000000001,12.05,75.15
9.8_76.2,9.8,76.2,9.850000000000001,76.25
16.8_74.10000000000001,16.8,74.10000000000001,16.85,74.15
11.8_75.7,11.8,75.7,11.850000000000001,75.75
15.5_73.7,15.5,73.7,15.55,73.75
10.600000000000001_76.4,10.600000000000001,76.4,10.650000000000002,76.45
15.200000000000001_74.0,15.200000000000001,74.0,15.250000000000002,74.05
8.700000000000001_77.10000000000001,8.700000000000001,77.10000000000001,8.750000000000002,77.15
11.8_75.4,11.8,75.4,11.850000000000001,75.45
11.100000000000001_75.9,11.100000000000001,75.9,11.150000000000002,75.95
9.4_76.3,9.4,76.3,9.450000000000001,76.35
10.0_76.7,10.0,76.7,10.05,76.75
13.100000000000001_74.9,13.100000000000001,74.9,13.150000000000002,74.95
10.0_76.5,10.0,76.5,10.05,76.55
11.200000000000001_75.8,11.200000000000001,75.8,11.250000000000002,75.85
9.0_76.4,9.0,76.4,9.05,76.45
9.600000000000001_76.3,9.600000000000001,76.3,9.650000000000002,76.35
13.0_75.60000000000001,13.0,75.60000000000001,13.05,75.65
10.3_76.3,10.3,76.3,10.350000000000001,76.35
9.9_76.5,9.9,76.5,9.950000000000001,76.55
10.5_76.3,10.5,76.3,10.55,76.35
9.8_76.3,9.8,76.3,9.850000000000001,76.35
11.700000000000001_75.60000000000001,11.700000000000001,75.60000000000001,11.750000000000002,75.65
12.0_75.3,12.0,75.3,12.05,75.35
12.700000000000001_75.10000000000001,12.700000000000001,75.10000000000001,12.750000000000002,75.15
12.5_75.2,12.5,75.2,12.55,75.25
10.700000000000001_76.60000000000001,10.700000000000001,76.60000000000001,10.750000000000002,76.65
15.700000000000001_73.9,15.700000000000001,73.9,15.750000000000002,73.95
14.8_74.7,14.8,74.7,14.850000000000001,74.75
11.9_75.7,11.9,75.7,11.950000000000001,75.75
10.0_76.2,10.0,76.2,10.05,76.25
10.600000000000001_76.9,10.600000000000001,76.9,10.650000000000002,76.95
11.0_76.80000000000001,11.0,76.80000000000001,11.05,76.85000000000001
9.3_76.5,9.3,76.5,9.350000000000001,76.55
15.600000000000001_73.7,15.600000000000001,73.7,15.650000000000002,73.75
11.200000000000001_75.9,11.200000000000001,75.9,11.250000000000002,75.95
12.9_75.60000000000001,12.9,75.60000000000001,12.950000000000001,75.65
10.600000000000001_76.7,10.600000000000001,76.7,10.650000000000002,76.75
10.100000000000001_77.10000000000001,10.100000000000001,77.10000000000001,10.150000000000002,77.15
11.0_76.9,11.0,76.9,11.05,76.95
11.600000000000001_75.8,11.600000000000001,75.8,11.650000000000002,75.85
11.0_76.7,11.0,76.7,11.05,76.75
11.4_76.10000000000001,11.4,76.10000000000001,11.450000000000001,76.15
14.9_74.0,14.9,74.0,14.950000000000001,74.05
13.600000000000001_75.2,13.600000000000001,75.2,13.650000000000002,75.25
12.0_77.0,12.0,77.0,12.05,77.05
9.5_77.10000000000001,9.5,77.10000000000001,9.55,77.15
11.3_76.7,11.3,76.7,11.350000000000001,76.75
11.9_76.0,11.9,76.0,11.950000000000001,76.05
10.4_76.10000000000001,10.4,76.10000000000001,10.450000000000001,76.15
9.8_76.5,9.8,76.5,9.850000000000001,76.55
14.0_75.10000000000001,14.0,75.10000000000001,14.05,75.15
10.700000000000001_76.7,10.700000000000001,76.7,10.750000000000002,76.75
15.600000000000001_74.10000000000001,15.600000000000001,74.10000000000001,15.650000000000002,74.15
8.3_77.4,8.3,77.4,8.350000000000001,77.45
12.200000000000001_75.3,12.200000000000001,75.3,12.250000000000002,75.35
15.200000000000001_74.10000000000001,15.200000000000001,74.10000000000001,15.250000000000002,74.15
10.3_77.0,10.3,77.0,10.350000000000001,77.05
10.3_76.80000000000001,10.3,76.80000000000001,10.350000000000001,76.85000000000001
10.200000000000001_76.80000000000001,10.200000000000001,76.80000000000001,10.250000000000002,76.85000000000001
15.9_73.8,15.9,73.8,15.950000000000001,73.85
11.4_76.60000000000001,11.4,76.60000000000001,11.450000000000001,76.65
12.8_74.8,12.8,74.8,12.850000000000001,74.85
15.3_73.8,15.3,73.8,15.350000000000001,73.85
10.4_76.80000000000001,10.4,76.80000000000001,10.450000000000001,76.85000000000001
15.4_74.0,15.4,74.0,15.450000000000001,74.05
9.8_76.80000000000001,9.8,76.80000000000001,9.850000000000001,76.85000000000001
11.100000000000001_76.7,11.100000000000001,76.7,11.150000000000002,76.75
14.100000000000001_75.8,14.100000000000001,75.8,14.150000000000002,75.85
12.0_76.0,12.0,76.0,12.05,76.05
13.700000000000001_75.2,13.700000000000001,75.2,13.750000000000002,75.25
12.200000000000001_75.4,12.200000000000001,75.4,12.250000000000002,75.45
10.100000000000001_76.60000000000001,10.100000000000001,76.60000000000001,10.150000000000002,76.65
10.700000000000001_76.3,10.700000000000001,76.3,10.750000000000002,76.35
12.200000000000001_76.3,12.200000000000001,76.3,12.250000000000002,76.35
11.600000000000001_76.2,11.600000000000001,76.2,11.650000000000002,76.25
14.9_74.10000000000001,14.9,74.10000000000001,14.950000000000001,74.15
12.9_77.10000000000001,12.9,77.10000000000001,12.950000000000001,77.15
13.3_74.8,13.3,74.8,13.350000000000001,74.85
13.9_74.60000000000001,13.9,74.60000000000001,13.950000000000001,74.65
12.100000000000001_75.9,12.100000000000001,75.9,12.150000000000002,75.95
11.3_75.7,11.3,75.7,11.350000000000001,75.75
10.100000000000001_76.2,10.100000000000001,76.2,10.150000000000002,76.25
11.4_75.8,11.4,75.8,11.450000000000001,75.85
11.4_75.7,11.4,75.7,11.450000000000001,75.75
11.200000000000001_76.3,11.200000000000001,76.3,11.250000000000002,76.35
9.3_76.7,9.3,76.7,9.350000000000001,76.75
9.9_76.2,9.9,76.2,9.950000000000001,76.25
11.700000000000001_75.8,11.700000000000001,75.8,11.750000000000002,75.85
11.5_76.10000000000001,11.5,76.10000000000001,11.55,76.15
16.900000000000002_73.2,16.900000000000002,73.2,16.950000000000003,73.25
9.700000000000001_76.80000000000001,9.700000000000001,76.80000000000001,9.750000000000002,76.85000000000001
16.3_74.10000000000001,16.3,74.10000000000001,16.35,74.15
10.700000000000001_76.4,10.700000000000001,76.4,10.750000000000002,76.45
13.0_74.9,13.0,74.9,13.05,74.95
8.5_76.80000000000001,8.5,76.80000000000001,8.55,76.85000000000001
11.9_75.9,11.9,75.9,11.950000000000001,75.95
13.8_75.4,13.8,75.4,13.850000000000001,75.45
9.700000000000001_76.60000000000001,9.700000000000001,76.60000000000001,9.750000000000002,76.65
16.6_74.4,16.6,74.4,16.650000000000002,74.45
8.4_77.30000000000001,8.4,77.30000000000001,8.450000000000001,77.35000000000001
13.600000000000001_75.60000000000001,13.600000000000001,75.60000000000001,13.650000000000002,75.65
11.700000000000001_76.10000000000001,11.700000000000001,76.10000000000001,11.750000000000002,76.15
11.4_76.4,11.4,76.4,11.450000000000001,76.45
8.9_76.5,8.9,76.5,8.950000000000001,76.55
8.200000000000001_77.30000000000001,8.200000000000001,77.30000000000001,8.250000000000002,77.35000000000001
11.5_76.2,11.5,76.2,11.55,76.25
11.8_75.9,11.8,75.9,11.850000000000001,75.95
9.0_76.5,9.0,76.5,9.05,76.55
11.3_76.5,11.3,76.5,11.350000000000001,76.55
10.4_76.9,10.4,76.9,10.450000000000001,76.95
17.2_74.10000000000001,17.2,74.10000000000001,17.25,74.15
14.200000000000001_76.4,14.200000000000001,76.4,14.250000000000002,76.45
10.4_76.3,10.4,76.3,10.450000000000001,76.35
10.9_76.0,10.9,76.0,10.950000000000001,76.05
9.3_77.4,9.3,77.4,9.350000000000001,77.45
17.5_76.2,17.5,76.2,17.55,76.25
8.3_77.0,8.3,77.0,8.350000000000001,77.05
8.700000000000001_77.2,8.700000000000001,77.2,8.750000000000002,77.25
13.3_74.7,13.3,74.7,13.350000000000001,74.75
15.8_74.5,15.8,74.5,15.850000000000001,74.55
10.5_76.80000000000001,10.5,76.80000000000001,10.55,76.85000000000001
16.5_73.4,16.5,73.4,16.55,73.45
15.0_73.9,15.0,73.9,15.05,73.95
8.4_77.4,8.4,77.4,8.450000000000001,77.45
8.4_76.9,8.4,76.9,8.450000000000001,76.95
15.100000000000001_73.9,15.100000000000001,73.9,15.150000000000002,73.95
8.5_77.2,8.5,77.2,8.55,77.25
13.8_75.5,13.8,75.5,13.850000000000001,75.55
8.8_76.60000000000001,8.8,76.60000000000001,8.850000000000001,76.65
8.5_76.9,8.5,76.9,8.55,76.95
9.8_76.4,9.8,76.4,9.850000000000001,76.45
11.9_75.4,11.9,75.4,11.950000000000001,75.45
12.100000000000001_75.3,12.100000000000001,75.3,12.150000000000002,75.35
12.8_76.0,12.8,76.0,12.850000000000001,76.05
11.600000000000001_76.3,11.600000000000001,76.3,11.650000000000002,76.35
12.200000000000001_75.2,12.200000000000001,75.2,12.250000000000002,75.25
11.5_75.7,11.5,75.7,11.55,75.75
10.0_76.9,10.0,76.9,10.05,76.95
9.700000000000001_76.5,9.700000000000001,76.5,9.750000000000002,76.55
9.9_76.60000000000001,9.9,76.60000000000001,9.950000000000001,76.65
8.4_77.2,8.4,77.2,8.450000000000001,77.25
10.9_76.10000000000001,10.9,76.10000000000001,10.950000000000001,76.15
11.3_75.9,11.3,75.9,11.350000000000001,75.95
10.4_76.4,10.4,76.4,10.450000000000001,76.45
9.8_76.9,9.8,76.9,9.850000000000001,76.95
8.6_77.2,8.6,77.2,8.65,77.25
10.100000000000001_76.7,10.100000000000001,76.7,10.150000000000002,76.75
8.9_76.80000000000001,8.9,76.80000000000001,8.950000000000001,76.85000000000001
9.3_76.60000000000001,9.3,76.60000000000001,9.350000000000001,76.65
8.4_77.0,8.4,77.0,8.450000000000001,77.05
9.5_76.3,9.5,76.3,9.55,76.35
12.4_75.3,12.4,75.3,12.450000000000001,75.35
12.600000000000001_75.7,12.600000000000001,75.7,12.650000000000002,75.75
12.200000000000001_75.10000000000001,12.200000000000001,75.10000000000001,12.250000000000002,75.15
15.100000000000001_76.60000000000001,15.100000000000001,76.60000000000001,15.150000000000002,76.65
11.4_76.0,11.4,76.0,11.450000000000001,76.05
9.200000000000001_76.7,9.200000000000001,76.7,9.250000000000002,76.75
12.3_75.0,12.3,75.0,12.350000000000001,75.05
10.600000000000001_76.10000000000001,10.600000000000001,76.10000000000001,10.650000000000002,76.15
16.2_74.0,16.2,74.0,16.25,74.05
13.0_75.5,13.0,75.5,13.05,75.55
15.9_74.10000000000001,15.9,74.10000000000001,15.950000000000001,74.15
15.700000000000001_73.8,15.700000000000001,73.8,15.750000000000002,73.85
11.0_76.4,11.0,76.4,11.05,76.45
11.0_76.5,11.0,76.5,11.05,76.55
10.4_76.2,10.4,76.2,10.450000000000001,76.25
12.5_75.7,12.5,75.7,12.55,75.75
9.0_76.80000000000001,9.0,76.80000000000001,9.05,76.85000000000001
12.100000000000001_75.5,12.100000000000001,75.5,12.150000000000002,75.55
12.100000000000001_76.60000000000001,12.100000000000001,76.60000000000001,12.150000000000002,76.65
13.4_75.0,13.4,75.0,13.450000000000001,75.05
15.4_75.0,15.4,75.0,15.450000000000001,75.05
10.8_76.2,10.8,76.2,10.850000000000001,76.25
12.100000000000001_76.2,12.100000000000001,76.2,12.150000000000002,76.25
12.0_75.5,12.0,75.5,12.05,75.55
9.5_77.5,9.5,77.5,9.55,77.55
13.4_75.7,13.4,75.7,13.450000000000001,75.75
11.0_77.0,11.0,77.0,11.05,77.05
11.8_75.3,11.8,75.3,11.850000000000001,75.35
11.5_77.2,11.5,77.2,11.55,77.25
10.8_76.4,10.8,76.4,10.850000000000001,76.45
10.9_77.0,10.9,77.0,10.950000000000001,77.05
9.5_76.4,9.5,76.4,9.55,76.45
